date,close,volume
2020-02-21,861,247
2020-02-24,830,279
2020-02-25,841.3,285
2020-02-26,834.9,425
2020-02-27,846,408
2020-02-28,828.2,606
2020-03-02,838.8,266
2020-03-03,844,346
2020-03-04,842.4,230
2020-03-05,838.8,346
2020-03-06,830,559
2020-03-09,771.9,805
2020-03-10,807,1090
2020-03-11,750.6,1386
2020-03-12,698.1,2053
2020-03-13,710,3428
2020-03-16,670,2768
2020-03-17,700,7134
2020-03-18,682,9564
2020-03-19,667,35184
2020-03-20,672.1,145359
2020-03-23,625.1,97093
2020-03-24,626,210798
2020-03-25,648.3,167871
2020-03-26,626.1,176064
2020-03-27,615,204113
2020-03-30,583,202159
2020-03-31,578.7,226261
2020-04-01,590,218566
2020-04-03,613.9,181611
2020-04-06,656.8,123780
2020-04-07,677,228037
2020-04-08,675,193063
2020-04-09,680.2,194931
2020-04-10,682,210246
2020-04-13,689.7,202584
2020-04-14,705.2,186742
2020-04-15,717.5,151019
2020-04-16,725.2,102626
