date,close,volume
2020-03-20,668.4,496
2020-03-23,621.7,351
2020-03-24,621,897
2020-03-25,642.9,940
2020-03-26,621,597
2020-03-27,610,582
2020-03-30,577,887
2020-03-31,576,1566
2020-04-01,588,798
2020-04-03,609.5,886
2020-04-06,652.1,1340
2020-04-07,674.9,2290
2020-04-08,666,1395
2020-04-09,673.7,2492
2020-04-10,675.5,2988
2020-04-13,679.7,7605
2020-04-14,683,16868
2020-04-15,695,24739
2020-04-16,702.5,68436
2020-04-17,716.5,178181
2020-04-20,710,159470
2020-04-21,670.1,230517
2020-04-22,686.9,258419
2020-04-23,678.9,260194
2020-04-24,697.1,235828
2020-04-27,692.5,209723
2020-04-28,694,240653
2020-04-29,702.5,223231
2020-05-04,684,202008
2020-05-05,695.3,190570
2020-05-06,718,179060
2020-05-07,742,212402
2020-05-08,744,276292
2020-05-11,762.2,241815
2020-05-12,759.1,261592
2020-05-13,770.3,274565
2020-05-14,768,220617
2020-05-15,766.7,185787
2020-05-18,788,157405
2020-05-19,799.5,158811
2020-05-20,807.5,153550
2020-05-21,864,90311
