date,close,volume
2020-06-19,791,735
2020-06-22,788.4,560
2020-06-23,785.8,513
2020-06-24,775,422
2020-06-25,771,571
2020-06-26,769.1,604
2020-06-29,754.5,560
2020-06-30,744,788
2020-07-01,760,814
2020-07-02,763.5,790
2020-07-03,763.7,389
2020-07-06,789.5,671
2020-07-07,788,1049
2020-07-08,793,885
2020-07-09,810,1933
2020-07-10,798,2131
2020-07-13,797,3961
2020-07-14,799.3,6558
2020-07-15,810,17064
2020-07-16,806,37185
2020-07-17,807.9,162893
2020-07-20,796.5,137102
2020-07-21,805,155450
2020-07-22,792,146210
2020-07-23,797.1,175591
2020-07-24,765,234252
2020-07-27,711.6,255235
2020-07-28,741.7,322020
2020-07-29,720.7,354161
2020-07-30,730.2,345205
2020-07-31,725,344925
2020-08-03,742,234799
2020-08-04,762,234993
2020-08-05,777.5,230438
2020-08-06,776,262783
2020-08-07,780.6,263978
2020-08-10,782.4,178671
2020-08-11,787,209054
2020-08-12,791,174045
2020-08-13,798.3,144356
2020-08-14,793.5,188374
2020-08-17,792.5,195848
2020-08-18,788,195165
2020-08-19,793,137310
2020-08-20,785,147705
