date,close,volume
2020-05-22,760.5,1183
2020-05-25,772,673
2020-05-26,800,770
2020-05-27,773,759
2020-05-28,776,841
2020-05-29,777,671
2020-06-01,799,830
2020-06-02,794.6,860
2020-06-03,808.3,1051
2020-06-04,805.8,587
2020-06-05,815,655
2020-06-08,827,1180
2020-06-09,820,902
2020-06-10,830,1403
2020-06-11,785,2063
2020-06-12,794.3,3376
2020-06-15,763,5101
2020-06-16,785.4,9699
2020-06-17,788,11417
2020-06-18,787.4,31550
2020-06-19,798.6,130018
2020-06-22,797.9,156049
2020-06-23,796,175272
2020-06-24,785,143297
2020-06-25,781,172194
2020-06-26,778.1,142205
2020-06-29,763,218029
2020-06-30,752.5,197428
2020-07-01,768.6,197988
2020-07-02,773,219722
2020-07-03,772.8,167568
2020-07-06,798.3,128165
2020-07-07,794,192970
2020-07-08,802.1,182464
2020-07-09,815.2,201665
2020-07-10,803.7,216441
2020-07-13,803,198350
2020-07-14,804.2,192988
2020-07-15,817,172911
2020-07-16,816,96189
