date,close,volume
2020-07-17,798,151
2020-07-20,784.5,40
2020-07-21,793.5,53
2020-07-22,783.7,29
2020-07-23,787.3,30
2020-07-24,760.7,499
2020-07-27,711.9,101
2020-07-28,742.8,110
2020-07-29,714.6,87
2020-07-30,720,64
2020-07-31,716,68
2020-08-03,731,44
2020-08-04,749,91
2020-08-05,767,62
2020-08-06,761.5,32
2020-08-07,767.1,873
2020-08-10,773.3,91
2020-08-11,777.1,104
2020-08-12,779.8,25
2020-08-13,786.9,22
2020-08-14,785,767
2020-08-17,782,38
2020-08-18,778,30
2020-08-19,782,23
2020-08-20,773.9,74
2020-08-21,784,39
2020-08-24,806.4,68
2020-08-25,804.1,70
2020-08-26,804.5,34
2020-08-27,811.1,27
2020-08-28,815,44
2020-08-31,815.9,41
2020-09-01,830,99
2020-09-03,839.3,104
2020-09-04,834.9,45
2020-09-07,812,69
2020-09-08,820.1,81
2020-09-09,821.8,104
2020-09-10,813.6,67
2020-09-11,810,72
2020-09-14,821.1,104
2020-09-15,822,118
2020-09-16,828,40
2020-09-17,824.8,253
2020-09-18,840,204
2020-09-21,840.3,63
2020-09-22,843,62
2020-09-23,846,107
2020-09-24,843.8,337
2020-09-25,849,286
2020-09-28,854.2,84
2020-09-29,848,321
2020-09-30,851.6,159
2020-10-01,857.8,44
