date,close,volume
2020-04-17,713,134
2020-04-20,709,98
2020-04-21,666.6,137
2020-04-22,679.2,130
2020-04-23,679,72
2020-04-24,686.1,117
2020-04-27,680.4,68
2020-04-28,683,80
2020-04-29,688.1,56
2020-05-04,672,102
2020-05-05,679.4,31
2020-05-06,696.5,60
2020-05-07,728,133
2020-05-08,723.5,253
2020-05-11,745.5,164
2020-05-12,739,43
2020-05-13,749.5,248
2020-05-14,744.5,641
2020-05-15,742.1,59
2020-05-18,758.9,77
2020-05-19,771,254
2020-05-20,780,229
2020-05-21,773.9,314
2020-05-22,753,296
2020-05-25,760,65
2020-05-26,780,61
2020-05-27,760.1,144
2020-05-28,762.9,739
2020-05-29,762.9,77
2020-06-01,783.7,95
2020-06-02,779.9,315
2020-06-03,789,89
2020-06-04,788.8,54
2020-06-05,799,159
2020-06-08,812.7,93
2020-06-09,806.6,64
2020-06-10,815.8,80
2020-06-11,780.3,366
2020-06-12,781.1,420
2020-06-15,754,1241
2020-06-16,774.9,85
2020-06-17,775.2,103
2020-06-18,775,88
2020-06-19,785.6,109
2020-06-22,781.1,101
2020-06-23,780.3,110
2020-06-24,770.5,89
2020-06-25,764.7,376
2020-06-26,762.1,72
2020-06-29,747,110
2020-06-30,737.9,142
2020-07-01,751,516
2020-07-02,755.9,207
2020-07-03,754.7,63
2020-07-06,776.8,147
2020-07-07,776.9,97
2020-07-08,780.1,62
2020-07-09,800.9,114
2020-07-10,788.9,48
2020-07-13,786.7,91
2020-07-14,786.9,108
2020-07-15,806.4,137
2020-07-16,800,65
2020-07-17,799.1,135
2020-07-20,790.4,57
2020-07-21,797,32
2020-07-22,787,338
2020-07-23,790,107
2020-07-24,760,369
2020-07-27,707.9,150
2020-07-28,733.3,101
2020-07-29,719,257
2020-07-30,721,231
2020-07-31,720,133
2020-08-03,731.8,114
2020-08-04,748,151
2020-08-05,768.8,167
2020-08-06,767,143
2020-08-07,769,143
2020-08-10,773.1,66
2020-08-11,779.8,101
2020-08-12,780.2,43
2020-08-13,784.6,44
2020-08-14,781.9,70
2020-08-17,783.9,146
2020-08-18,781.7,44
2020-08-19,783,134
2020-08-20,774.8,67
2020-08-21,783.9,76
2020-08-24,806.1,175
2020-08-25,808,326
2020-08-26,806.2,112
2020-08-27,812.1,54
2020-08-28,816.4,86
2020-08-31,816.7,36
2020-09-01,830.9,67
2020-09-03,842,170
2020-09-04,836.2,73
2020-09-07,815.8,99
2020-09-08,820,147
2020-09-09,822.8,121
2020-09-10,818,302
2020-09-11,822.7,53
2020-09-14,827.7,61
2020-09-15,827.1,27
2020-09-16,828.7,101
2020-09-17,829,436
2020-09-18,843.3,171
2020-09-21,843,322
2020-09-22,845.7,671
2020-09-23,850,110
2020-09-24,848,77
2020-09-25,849.9,785
2020-09-28,857.9,226
2020-09-29,849.9,207
2020-09-30,854,305
2020-10-01,860,103
