date,close,volume
2019-12-20,871,149
2019-12-23,872,115
2019-12-24,873.1,225
2019-12-25,874.5,137
2019-12-26,873,163
2019-12-27,880,260
2019-12-30,879.2,131
2019-12-31,876.4,201
2020-01-02,887.1,333
2020-01-03,881,176
2020-01-06,874,181
2020-01-07,875.5,162
2020-01-08,866.5,287
2020-01-09,875.4,288
2020-01-10,880,365
2020-01-13,880.6,439
2020-01-14,882.8,894
2020-01-15,883.2,1547
2020-01-16,891.4,9329
2020-01-17,893.5,70607
2020-01-20,896.9,60257
2020-01-21,902.2,63328
2020-01-22,909,64281
2020-01-30,873,105632
2020-01-31,852,139324
2020-02-03,841,183620
2020-02-04,842.2,194912
2020-02-05,841.8,139923
2020-02-06,860.5,140367
2020-02-07,857,125635
2020-02-10,846.1,107072
2020-02-11,850.3,103659
2020-02-12,856.6,128526
2020-02-13,855.1,131133
2020-02-14,861.8,126261
2020-02-17,863.8,86306
2020-02-18,856,74707
2020-02-19,865.8,82723
2020-02-20,871.7,64539
