ticker,name,exchange,industry,sector,MarketCap,InternalOwnership,ExternalOwnership,StateOwnership,AvgValue20P
HHS,Công ty Cổ phần Đầu tư - Dịch vụ Hoàng Huy ,HOSE,Ôtô & phụ tùng ôtô,Ôtô & linh kiện phụ tùng ,1321518943030,5.392,94.608,0,16153179185
HII,Công ty Cổ phần An Tiến Industries,HOSE,Khai thác mỏ,Tài nguyên,451587750000,0.284,99.716,0,2819776375
HLD,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,HNX,Xây dựng & Vật liệu,Xây dựng & Vật liệu,560000000000,1.262,98.738,0,2149711660
HND,Công ty Cổ phần Nhiệt điện Hải Phòng,UPCOM,Điện lực,Dịch vụ tiện ích,8832500000000,0.021,99.979,60,1079107855
HNG,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,HOSE,Sản xuất thực phẩm,Thực phẩm & Đồ uống,12083237455500,0.094,99.906,0,20049278675
HPG,Công ty cổ phần Tập đoàn Hòa Phát ,HOSE,Kim loại công nghiệp,Tài nguyên,101552113498350,44.799,55.201,0,518678753225
HPX,Công ty cổ phần Đầu tư Hải Phát,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,7485196670600,45.248,54.752,0,11656700650
HQC,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,791154794840,14.463,85.537,0,11152708150
HSG,Công ty Cổ phần Tập đoàn Hoa Sen ,HOSE,Kim loại công nghiệp,Tài nguyên,7308703958850,17.87,82.13,0,175089931625
HT1,Công ty Cổ phần xi măng Hà Tiên 1,HOSE,Xây dựng & Vật liệu,Xây dựng & Vật liệu,6047439289350,3.024,96.976,79.69,18943325675
HTN,Công ty cổ phần Hưng Thịnh Incons,HOSE,Xây dựng & Vật liệu,Xây dựng & Vật liệu,1100971959300,17.853,82.147,0,4982022100
HUT,Công ty Cổ phần TASCO ,HNX,Xây dựng & Vật liệu,Xây dựng & Vật liệu,644716716000,15.354,84.646,0,7308584055
HVH,Công ty cổ phần Đầu tư và Công nghệ HVC,HOSE,Hàng hóa giải trí,Đồ dùng cá nhân và đồ gia dụng,173404960500,53.447,46.553,0,1509753975
HVN,Tổng Công ty Hàng không Việt Nam - CTCP,HOSE,Du lịch & Giải trí,Du lịch & Giải trí,35811843886750,0.009,99.991,86.19,9837020575
IBC,Công ty cổ phần Đầu tư APAX HOLDINGS,HOSE,Dịch vụ tài chính,Dịch vụ tài chính,1823530577250,14.272,85.728,0,3919237950
IDC,Tổng Công ty IDICO - CTCP,HNX,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,8040000000000,0.012,99.988,0,4915135435
IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia IDI,HOSE,Sản xuất thực phẩm,Thực phẩm & Đồ uống,1215622206720,6.215,93.785,0,9956486165
IDJ,Công ty cổ phần Đầu tư IDJ Việt Nam,HNX,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,466180000000,4.143,95.857,0,2862020350
IDV,Công ty Cổ phần Phát triển hạ tầng Vĩnh Phúc,HNX,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,908016323400,44.091,55.909,0,1011186420
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,HOSE,Xây dựng & Vật liệu,Xây dựng & Vật liệu,1672587340600,0.001,99.999,0,5343941725
IMP,Công ty Cổ phần dược phẩm Imexpharm,HOSE,Dược phẩm & công nghệ sinh học,Y tế,3296909136500,2.654,97.346,0,4570571525
ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo ,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,4616542149000,8.037,91.963,0,61452280990
JVC,Công ty Cổ phần Thiết bị Y tế Việt Nhật,HOSE,Dụng cụ & dịch vụ y tế,Y tế,465750707940,10.178,89.822,0,2694787860
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,6529666627100,20.988,79.012,0,29402122750
KDC,Công ty Cổ phần tập đoàn Kido ,HOSE,Sản xuất thực phẩm,Thực phẩm & Đồ uống,7198139935000,14.336,85.664,0,17877588250
KDF,Công ty cổ phần Thực phẩm Đông lạnh KIDO,UPCOM,Sản xuất thực phẩm,Thực phẩm & Đồ uống,2133416560000,1.193,98.807,0,1571282330
KDH,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,13578999869700,2.107,97.893,0,18967145050
KLF,Công ty cổ phần Đầu tư Thương mại và Xuất nhập khẩu CFS,HNX,Du lịch & Giải trí,Du lịch & Giải trí,297634609800,0,100,0,3928061515
KOS,Công ty cổ phần Kosy,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,3351125000000,59.966,40.034,0,17555180100
KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,HOSE,Khai thác mỏ,Tài nguyên,1603334450000,3.12,96.88,0,27259376500
