Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2018,4,22021001309,21926961702,4654524903,0,0,-1923076675,49461181467,0,96140592706,-35620949674,-252969817579,56410261786,4730697027,-49461181467,5780000,0,-2407820908,-183172438109,-1523189203,0,0,0,0,94520000000,474266311,93471077108,0,0,1356680604723,-1538579729145,0,0,0,-181899124422,-271600485423,406507599855,0,134907114432
2019,1,-148399686147,23027113334,114187031839,-5903159894,0,43314034223,79901139738,0,106126473093,-443416492548,370479056284,296084853218,4706991189,-54700800066,-13434635652,-5780000,-7407033658,258432631860,-12624992204,1192361765,-175914422000,0,0,-94520000000,728601340,-281138451099,0,0,737691595659,-727686116686,0,-644254662,0,9361224311,-13344594928,134907114432,10494398,121573013902
2019,2,-290909788164,22552948171,121021851459,1220526993,0,29434128914,71005076950,0,-45675255677,115880370708,-77138465890,-73146467202,2568710725,-56258574661,-3948547264,0,-2407820908,-140126050169,936380438,950000000,872279883,0,-177815979551,256705114935,1783876307,83431672012,0,0,979784500367,-967169588164,0,0,0,12614912203,-44079465954,123588946736,263067082,79772547864
2019,3,-812523493845,45689087981,300650651979,7810014440,0,24028875005,112573497267,0,-321771367173,238826040778,271456482876,88611507952,1412577960,-73016653274,-10027355190,-789939361,-8840541470,185860753098,-64007289259,658896629,-15397720117,0,46919186,18959777331,611238829,-59128177401,0,0,1021022374445,-1120666648279,0,-644254662,0,-100288528496,26444047201,79772547864,-696481272,105520113793
2019,4,-249032116728,24574936396,77183000000,382416261,0,20840615271,69893498302,0,-56157650498,115119473830,50564579926,43074674937,-908518561,-54091186592,2018519270,0,-257414676,99362477636,-40534322353,-2555578000,0,0,-81000000000,0,7199425879,-116890474474,86600000,0,942394616077,-975418146160,0,0,0,-32936930083,-50464926921,105520113793,204020514,55259207386
