disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2020-03-09,stockAlert,listedUpcom,Ngày giao dịch đầu tiên trên UPCoM,2020-03-17,,,Giá tham chiếu 10.500 đ/cp,,,,
2020-08-07,investorRight,ISSUE,Phát hành thêm,2020-08-18,2020-09-21,,"Phát hành 13,000,000 cp cho CĐHH, giá 10000 đ/cp, tỷ lệ 100:200",,200,,
2020-11-11,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2020-11-17,,,"Số lượng 13,000,000 cp",,,,
