Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2018,4,216218299,216218299,24102.9933343338,43094.8851012508,16645.1446101932,6282.07774265674,442.00603921595,442.00603921595,408.509790545064,442,0,0.573446598758969,0.895350065028388,1.48237154196954,0.370225595397743,0.207998399070386,0.433614952118804,0.243611508698632,0.329880883818908,0.185332123362628,0.779944446939992,0.43818471316947,0.0121560264561049,0.0510985454546348,0.00697514750457872,26.6407718780745,13.7008042285891,7.3117797558557,49.9194467267271,11.7861611722074,30.9685227163442,4331222207.51379,71942446.5894019,0.00562443198381261,1.34757938785351,0.742071308758181,0.150030202993465,0.0839151858190727,0.0396720406146472,0.0240321099938819,0.0166101952618816,0.738976372262818,1.02009866002195,1.77778983038336,-0.0074219147320003,0,0,131.937111319667,131.937111319667,142.755452500145,2.41949201873319,1.3532232389757,3.50354420857885,9.28307518450691,1.73203635285824,20.6403207709345,43.6588672027816,-0.252194140703671,-0.474609446087633,-0.369325968162915,-0.563380619912088,-0.648713866075567,-0.708693646028725,-0.848071278786501,-0.125800151927113,-0.159411924282853,0
2019,4,324327447,324327447,23239.3483995821,42545.7401595493,13420.2148524759,1476.54276722377,355.652622246307,355.652622246307,220.96659271332,356,1.70749264275834,0.25055181654975,0.744482538439665,1.1967619453939,0.429355553811698,0.211471405583239,0.734221886224763,0.361627869749237,0.533215119751778,0.262625578849731,1.03032439599828,0.507467869680837,0.0156891021142392,0.0788544644350524,0.0083910146438295,36.6741473029456,9.95251496878523,7.82842252420165,46.6249744276831,11.4283094129635,31.9382322275918,3941374260.68895,105602670.394459,0,0,0,0.164188992754026,0.111786328076504,0.0618104676799132,0.0411580481461793,0.0267933627739274,0.99139555305952,1.00379388870104,1.87684392054553,-0.0143646853722519,0,0,120.66549581147,120.66549581147,194.214878697421,1.84665246469525,1.00867912601981,3.19778785002704,29.064515402212,1.35124616168047,12.0877587172888,21.8611217872987,-0.0127426941831091,0.0804276698751736,0.296536311592184,0.492826004993145,0.690803834362583,0.59251247374955,-0.195367052275623,0.150964078820995,0.0476512696946521,0.499999993062567
2020,2,324327447,324327447,23458.6332759065,43968.1418967541,13806.380318999,338.067082830026,-62.0820865956497,-62.0820865956497,-194.785055559914,356,2.2145993833299,0.156553228446113,0.610730209715918,1.07249238407354,0.423422242823123,0.204156027322202,0.75650202100601,0.364752796735622,0.584835418907047,0.281982531114348,1.07401294185095,0.51784293153564,-0.00266921085339511,0.0699377903239191,-0.00134210963931399,33.825312423529,10.7907355127962,6.76272529781696,53.9723238673947,11.3642423292695,32.11828729311,4073143447.78863,63108233.573836,0,0,0,0.162715124316781,0.100246551398941,0.0551403060517211,0.0284964138404305,0.0154937419668091,1.0196456922788,0.950516812469607,1.89040426941217,-0.0130026718736215,-0.067554627570396,-0.910069932918463,0,0,0,1.83817187867837,0.980732824717875,3.12326612795542,127.55160792061,1.33550517227535,13.3222056383823,24.2201262180637,0.120051549728061,0.130557294608774,0,0,1.57211745860211,4.09290081923673,0,0.0311569855286429,0.00943593049830671,0
2020,3,324499870.333333,324499870.333333,23997.8345321509,46239.2962211846,14508.7016322953,2267.59451723705,283.273688539769,283.273688539769,129.231632902265,356,2.19685340288401,0.171585360536674,0.490083591586345,0.809031478259427,0.18869129209862,0.0909697884338965,0.768376448297479,0.370441275597804,0.823019736638392,0.396785301993612,1.07421931332437,0.517890903061117,0.0120612298697846,0.0855912741147655,0.00592977784110693,32.4269589067031,11.2560663196989,6.64324722720961,54.9430101750575,11.4958921023477,31.7504719729807,4315071291.1431,96866419.9760069,0,0,0,0.166031081001986,0.105073857524052,0.0617748572694069,0.0346901357178132,0.0224483938828149,1.05890709737753,0.974535678721807,1.98221571740639,-0.0122417418349984,-6.18771531633449,-70.0550059351218,154.151274073835,154.151274073835,337.897146537058,1.81962251391881,0.944369909765061,3.0097110759243,19.2569701805445,1.26886907611385,12.0759730918168,20.5402186617796,0.106324209459515,0.187141708540626,0,0,1.250443574773,1.92920675118634,0,0.0274797997255807,0.0273775720976683,0
